1, بریانی, Isfahan, اصفهان | done ✅
30, حلیم بادمجان, Isfahan, اصفهان | done ✅
31, دوغ و گوشفیل, Isfahan, اصفهان | done ✅
32, حلیم شیر, Isfahan, اصفهان | skipped (no HTML) ⏭️
33, کباب حسینی, Isfahan, اصفهان | done ✅
34, یخنی لوبیا, Isfahan, اصفهان | done ✅
35, کوفته شوید باقلا, Isfahan, اصفهان | skipped (no HTML) ⏭️
36, کباب زردک, Isfahan, اصفهان | done ✅
37, آش سماق, Isfahan, اصفهان | done ✅
38, کوکو قندی, Isfahan, اصفهان | done ✅
39, جغوربغور, Isfahan, اصفهان | done ✅
40, به پلو, Isfahan, اصفهان | done ✅
41, کاچی هفت دخترون یا بی بی حور, Isfahan, اصفهان | done ✅
42, کوفته برنجی یا آمروی یا آمربی, Isfahan, خمینی شهر | done ✅
43, گیپا یا دلمه سیرابی, Isfahan, اصفهان | done ✅
44, خورشت مرغ و آلوچه, Isfahan, اصفهان | done ✅
45, گداخته, Isfahan, اصفهان | done ✅
46, چوقورتی, Isfahan, اصفهان | done ✅
47, نخود آب, Isfahan, اصفهان | done ✅
48, آش شله قلمکار, Isfahan, اصفهان | done ✅
49, حلیم عدس, Isfahan, اصفهان | done ✅
50, دمپخت کنجد و خشخاش, Isfahan, اصفهان | done ✅
51, خورش نعنا جعفری, Isfahan, اصفهان | done ✅
52, اشکنه, Isfahan, اصفهان | done ✅
53, شله ماش, Isfahan, اصفهان | parseFailed ❌
54, دیزی پلو, Isfahan, کاشان | done ✅
55, خورش نخود آله, Isfahan, کاشان | done ✅
56, قرمزه نخودچی, Isfahan, اصفهان | done ✅
57, فرنی, Isfahan, اصفهان | done ✅
58, آش اوماج چغندر, Isfahan, اصفهان | done ✅
59, آبگوشت یخنی نخود, Fars, شیراز | done ✅
77, شکر پلو شیرازی, Fars, شیراز | done ✅
78, لوبیا پلو شیرازی, Fars, شیراز | done ✅
79, دمپختک شیرازی, Fars, شیراز | done ✅
80, شیرازی پلو یا کته شیرازی, Fars, شیراز | done ✅
81, پاچه پلو شیرازی, Fars, شیراز | done ✅
82, لالک بادمجان, Fars, کازرون | done ✅
83, گبوله, Fars, کازرون | done ✅
84, پی پخ جهرمی, Fars, جهرم | done ✅
85, قیمه جهرمی, Fars, جهرم | skipped (no HTML) ⏭️
86, کوفته ریزه جهرمی, Fars, جهرم | done ✅
87, پلوترش دارابی, Fars, داراب | done ✅
88, رب پلو شیرازی, Fars, شیراز | done ✅
89, شله ماش شیرازی, Fars, شیراز | done ✅
90, پلو اسفندی, Fars, آباده | done ✅
91, کوفته هلو, Fars, شیراز | done ✅
92, کوفته سبزی شیرازی, Fars, شیراز | done ✅
93, آلبالو پلو شیرازی, Fars, شیراز | done ✅
94, دو پیازه آلو شیرازی, Fars, شیراز | done ✅
95, خورشت سبزی شیرازی, Fars, شیراز | done ✅
96, قورمه به, Fars, شیراز | done ✅
97, اشکنه شیرازی یا آب پیازک, Fars, شیراز | skipped (no HTML) ⏭️
98, توتوه, Fars, شیراز | done ✅
99, تو تابه ای, Fars, شیراز | done ✅
100, خورشت کنگر, Fars, شیراز | done ✅
101, چوگان شیرازی, Fars, شیراز | done ✅
102, کوفته گشنیز شیرازی, Fars, شیراز | done ✅
103, حلیم بادمجان, Fars, شیراز | done ✅
104, فالوده شیرازی, Fars, شیراز | done ✅
105, خوراک بابونه(قاتق بابونه), Fars, شیراز | done ✅
106, ترحلوا , Fars, شیراز | done ✅
107, حلوا کاسه شیرازی, Fars, شیراز | skipped (no HTML) ⏭️
108, حلوای شیر شیرازی, Fars, شیراز | done ✅
109, یتیمک بادمجان شیرازی, Fars, شیراز | done ✅
110, مشته بادمجان شیرازی, Fars, شیراز | done ✅
111, دلمه برگ مو شیرازی, Fars, شیراز | done ✅
112, مرغ مسمای شیرازی, Fars, شیراز | done ✅
113, لا پلو شیرازی, Fars, شیراز | done ✅
114, مرصع پلو شیرازی, Fars, شیراز | apiFailed ❌
115, نان قندی شیرازی, Fars, شیراز | done ✅
116, ماست و خیار شیرازی, Fars, شیراز | done ✅
117, کاچی بابونه, Fars, شیراز | done ✅
118, مسقطی شیرازی, Fars, شیراز | done ✅
119, حلوا زرد شیرازی, Fars, شیراز | done ✅
130, شکر پلو بوشهری, Boushehr, بوشهر | done ✅
131, کبه بوشهر, Boushehr, بوشهر | done ✅
132, قلیه میگو بوشهر, Boushehr, بوشهر | done ✅
133, قلیه ماهی بوشهر, Boushehr, بوشهر | done ✅
134, یتیمچه (یتیمک), Boushehr, بوشهر | done ✅
135, گمنه یا للک بوشهر, Boushehr, بوشهر | done ✅
136, سوپ میگو بوشهر, Boushehr, بوشهر | done ✅
